EmpID,FirstName,LastName,DOB,Title,StartDate,ExitDate
3427,Uriah,Bridges,07/10/1969,Production Technician I,20-Sep-19,
3428,Paula,Small,30/08/1965,Production Technician I,11-Feb-23,
3429,Edward,Buck,06/10/1991,Area Sales Manager,10-Dec-18,
3430,Michael,Riordan,04/04/1998,Area Sales Manager,21-Jun-21,
3431,Jasmine,Onque,29/08/1969,Area Sales Manager,29-Jun-19,
3432,Maruk,Fraval,03/04/1949,Area Sales Manager,17-Jan-20,
3433,Latia,Costa,01/07/1942,Area Sales Manager,06-Apr-22,03-Jul-23
3434,Sharlene,Terry,07/03/1957,Area Sales Manager,06-Nov-20,29-Jan-23
3435,Jac,McKinzie,15/05/1974,Area Sales Manager,18-Aug-18,
3436,Joseph,Martins,11/11/1949,Area Sales Manager,21-Jan-22,29-Jun-23
3437,Myriam,Givens,26/01/1964,Area Sales Manager,04-Aug-23,
3438,Dheepa,Nguyen,06/04/1948,Area Sales Manager,10-Aug-18,04-Nov-19
3439,Bartholemew,Khemmich,24/11/1981,Area Sales Manager,25-May-22,27-Nov-22
3440,Xana,Potts,06/11/1951,Area Sales Manager,05-Dec-19,17-Feb-23
3441,Prater,Jeremy,21/11/1989,Area Sales Manager,28-Apr-19,
3442,Kaylah,Moon,24/11/1952,Area Sales Manager,09-Jul-19,16-Jun-22
3443,Kristen,Tate,08/04/1994,Area Sales Manager,05-Apr-21,12-May-23
3444,Bobby,Rodgers,15/11/1983,Area Sales Manager,28-Nov-21,04-Feb-22
3445,Reid,Park,07/12/1985,Area Sales Manager,16-Jan-21,
3446,Hector,Dalton,01/05/1996,Area Sales Manager,24-Aug-21,
3447,Mariela,Schultz,17/02/1964,Area Sales Manager,26-May-20,18-Jun-23
3448,Angela,Molina,12/05/1958,Area Sales Manager,01-Oct-19,06-Nov-20
3449,Gerald,Preston,18/09/1992,Area Sales Manager,10-May-23,27-May-23
3450,Reilly,Moyer,11/08/1994,Area Sales Manager,01-Sep-20,04-Dec-22
3451,Carlee,French,15/01/1968,Area Sales Manager,18-Feb-21,11-Nov-22
3452,Jaydon,Blackburn,07/01/1947,Area Sales Manager,08-Nov-22,
3453,Bridger,Carter,07/04/1982,Area Sales Manager,13-Oct-22,
3454,Leon,Beard,29/01/1970,Area Sales Manager,11-Sep-22,
3455,Charity,Miranda,18/01/1999,Area Sales Manager,29-Jun-21,05-Jul-22
3456,Axel,Howe,25/09/1946,Area Sales Manager,06-Mar-23,
3457,Milton,Wall,23/08/1947,Area Sales Manager,25-Sep-20,
